Feature,Importance
cat__model_bmw 5 series,2.7541141824212113e-05
cat__oem_skoda,2.6971592785322544e-05
cat__model_porsche macan,2.691555895326946e-05
cat__model_mini cooper se,2.5711883951758885e-05
cat__Valve Configuration_dohc,2.394617741622519e-05
cat__model_mahindra xuv500,2.392012070083914e-05
cat__model_mercedes-benz gla class,2.3343970013059717e-05
cat__model_bmw m series,2.3325189989813383e-05
cat__state_bihar,2.306561852802516e-05
cat__model_volvo s60,2.1886319628325028e-05
cat__model_maruti ciaz,2.1848386640408266e-05
cat__model_chevrolet cruze,2.1760405874120898e-05
cat__model_audi s5,2.1741874762508385e-05
cat__Gear Box_cvt,2.1575795228913924e-05
cat__model_hyundai tucson,2.1304679985722594e-05
cat__Valve Configuration_sohc,2.1169712561182893e-05
cat__model_mercedes-benz m-class,2.098730918722446e-05
cat__model_kia carnival,2.0396760589626043e-05
cat__model_mercedes-benz cls-class,1.998943070074726e-05
cat__model_audi a6,1.9545667879565058e-05
cat__model_bmw 3 series,1.952140467081348e-05
cat__model_jeep meridian,1.928448446863567e-05
cat__model_honda city,1.9074622776442457e-05
cat__model_jaguar xf,1.9021163221199163e-05
cat__model_volvo xc 90,1.8808030661114242e-05
cat__state_andhra pradesh,1.873022805908662e-05
cat__state_jharkhand,1.8219137224077424e-05
cat__model_mercedes-benz gls,1.8074307615182218e-05
cat__oem_kia,1.7764214681271144e-05
cat__model_skoda kodiaq,1.7273134703675483e-05
cat__state_jammu & kashmir,1.6474969712404534e-05
cat__model_volvo s90,1.644262945548568e-05
cat__oem_ford,1.6160592749060587e-05
num__Valves per Cylinder,1.5754333296094576e-05
cat__model_land rover defender,1.4793795985338542e-05
cat__Drive Type_4x2,1.4336301458781316e-05
cat__model_maruti vitara brezza,1.3877510900775876e-05
cat__Rear Brake Type_carbon ceramic,1.3827888202716412e-05
cat__model_bmw 3 series gt,1.3649370982081109e-05
cat__model_mg gloster,1.3369772564341233e-05
cat__Gear Box_4 speed,1.2948377121835866e-05
cat__model_toyota camry,1.2564850233062265e-05
cat__model_land rover range rover evoque,1.200097068355854e-05
cat__model_jeep grand cherokee,1.153480330806102e-05
cat__state_chhattisgarh,1.1488791089823371e-05
cat__oem_renault,1.1348571443718703e-05
cat__model_bmw 6 series,1.11116268231792e-05
cat__oem_fiat,1.066828552300499e-05
cat__model_maruti grand vitara,1.0103645113257528e-05
cat__model_mahindra xuv300,1.0087570005160554e-05
cat__model_audi a3,9.932465011444234e-06
cat__model_jeep compass,9.801073889087955e-06
cat__owner_type_fifth,9.615829690707474e-06
cat__model_volkswagen touareg,9.167416950986662e-06
cat__model_skoda superb,9.106673803765439e-06
cat__model_skoda octavia,8.898868277672087e-06
